mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
n3c5-b7.mtx,30,120,240,0.019232,0.0527042,0.0621922,0.02888,0.0369762,0.0243513,0.0241162,0.0241816
n3c6-b10.mtx,675,2511,7425,0.023568,0.0625129,0.0624809,0.0319684,0.054657,0.0308165,0.030347,0.0303204
n3c6-b11.mtx,60,675,720,0.0197443,0.0624649,0.061505,0.031489,0.0381446,0.031329,0.0305127,0.030512
n3c6-b1.mtx,105,105,210,0.017689,0.0778892,0.0751051,0.025136,0.0373445,0.0214403,0.0213602,0.0215649
n3c6-b2.mtx,455,105,1365,0.0200536,0.0985935,0.0581128,0.0264323,0.0415116,0.022417,0.0222581,0.0226565
n3c6-b3.mtx,1365,455,5460,0.0267523,0.067633,0.0690249,0.029136,0.0548168,0.0237766,0.0238082,0.0237282
n3c6-b4.mtx,3003,1365,15015,0.0417765,0.081713,0.0743848,0.0345924,0.0847299,0.0280182,0.0281205,0.0281203
n3c6-b5.mtx,5005,3003,30030,0.0545446,0.0939718,0.0843403,0.0451366,0.137841,0.0380645,0.0375204,0.0374724
n3c6-b6.mtx,6435,5005,45045,0.066209,0.102001,0.0998413,0.0518567,0.193654,0.0504166,0.0511366,0.0511207
n3c6-b7.mtx,6435,6435,51480,0.0669698,0.107969,0.0972973,0.0554888,0.211571,0.0534247,0.0539206,0.0539367
n3c6-b8.mtx,4935,6435,44415,0.0565927,0.090193,0.0930571,0.0521286,0.17933,0.0517287,0.0511932,0.0512328
n3c6-b9.mtx,2511,4935,25110,0.0386085,0.071985,0.0696489,0.0381811,0.118114,0.0360487,0.036864,0.0368644
n4c5-b10.mtx,120,630,1320,0.0197922,0.0624328,0.0612327,0.0305766,0.0386081,0.0303842,0.0298086,0.0296803
n4c5-b11.mtx,10,120,120,0.0202563,0.0589288,0.0579049,0.030336,0.0289762,0.0300323,0.0292961,0.0293605
n4c5-b1.mtx,105,15,210,0.0176891,0.077089,0.075329,0.0251843,0.037505,0.0213763,0.0213602,0.0213604
n4c5-b2.mtx,455,105,1365,0.0204002,0.0996013,0.0581061,0.0264164,0.0412486,0.0224643,0.0225443,0.0225443
n4c5-b3.mtx,1350,455,5400,0.026768,0.0672809,0.0688328,0.029488,0.0548807,0.0238563,0.0238402,0.023872
n4c5-b4.mtx,2852,1350,14260,0.0415684,0.082097,0.0740474,0.033993,0.0835851,0.0280162,0.0278204,0.027787
n4c5-b5.mtx,4340,2852,26040,0.050913,0.0889614,0.0799212,0.0427846,0.125442,0.0349285,0.0349125,0.0350565
n4c5-b6.mtx,4735,4340,33145,0.0542408,0.0907533,0.0822731,0.046785,0.15661,0.0388468,0.0380806,0.0385125
n4c5-b7.mtx,3635,4735,29080,0.0475525,0.075057,0.0767209,0.0462246,0.132834,0.0332803,0.0336166,0.0340318
n4c5-b8.mtx,1895,3635,17055,0.0334404,0.0690567,0.0678362,0.0344165,0.0907052,0.0309604,0.0309605,0.0307044
n4c5-b9.mtx,630,1895,6300,0.0233923,0.0621288,0.0620331,0.0310245,0.053521,0.0302334,0.0298244,0.0298242
n4c6-b10.mtx,132402,186558,1456422,1.11,1.54834,1.66475,0.895761,5.59689,1.03465,1.03418,1.03089
n4c6-b11.mtx,69235,132402,830820,0.608024,1.00478,0.903119,0.530743,3.15772,0.611935,0.611708,0.61164
n4c6-b12.mtx,25605,69235,332865,0.247218,0.418642,0.455168,0.23281,1.31341,0.267481,0.265714,0.266226
n4c6-b13.mtx,6300,25605,88200,0.07853,0.148068,0.128819,0.078113,0.369043,0.088145,0.090081,0.090065
n4c6-b14.mtx,920,6300,13800,0.0262084,0.0636809,0.0580841,0.0348164,0.0863855,0.0341443,0.0332964,0.0331364
n4c6-b15.mtx,60,920,960,0.0197518,0.0504496,0.059618,0.0336811,0.0361772,0.036321,0.0211561,0.0211685
n4c6-b1.mtx,210,21,420,0.0182728,0.0762753,0.075475,0.025153,0.0404976,0.0214087,0.0216005,0.0213125
n4c6-b2.mtx,1330,210,3990,0.026944,0.0988803,0.0628687,0.0283193,0.0434402,0.023169,0.0234677,0.0231843
n4c6-b3.mtx,5970,1330,23880,0.0610087,0.107506,0.0872331,0.0426842,0.121281,0.0406246,0.0399296,0.0398406
n4c6-b4.mtx,20058,5970,100290,0.166267,0.214516,0.242845,0.0930412,0.439814,0.100305,0.0977289,0.097089
n4c6-b5.mtx,51813,20058,310878,0.397974,0.584264,0.45215,0.223794,1.27562,0.232539,0.225266,0.225248
n4c6-b6.mtx,104115,51813,728805,0.790382,0.951216,0.876142,0.46252,3.02825,0.478055,0.471196,0.471666
n4c6-b7.mtx,163215,104115,1305720,1.25234,1.4127,1.44423,0.790699,5.16678,0.826097,0.824701,0.824256
n4c6-b8.mtx,198895,163215,1790055,1.56114,1.98161,2.05771,1.06089,6.80739,1.24341,1.24135,1.23804
n4c6-b9.mtx,186558,198895,1865580,1.50777,2.15723,1.92619,1.11108,7.03079,1.29247,1.28855,1.28928
Na5.mtx,5832,5832,305630,0.149634,0.213267,0.21458,0.187459,1.48817,0.250644,0.149266,0.152402
NACA0015.mtx,1039183,1039183,6229636,8.52441,9.00603,8.78543,5.66189,29.6475,6.2355,6.31313,6.31521
nasa1824.mtx,1824,1824,39208,0.0354248,0.0664809,0.065857,0.0518247,0.138482,0.0559209,0.034721,0.0348789
nasa2146.mtx,2146,2146,72250,0.0461606,0.0753453,0.0760491,0.0592328,0.225235,0.0702251,0.0455526,0.0454888
nasa4704.mtx,4704,4704,104756,0.0601702,0.103009,0.100897,0.0773931,0.326997,0.068737,0.0625449,0.0625104
nasasrb.mtx,54870,54870,2677324,0.80009,1.53572,1.5385,0.773067,8.53771,1.28909,0.796683,0.796347
N_biocarta.mtx,1922,1996,4335,0.033648,0.134738,0.0820651,0.0412809,0.072561,0.0742412,0.069105,0.069009
nc2010.mtx,288987,288987,1416620,2.12482,2.09375,1.94422,1.1052,6.66472,1.41545,1.40418,1.40692
ncvxbqp1.mtx,50000,50000,349968,0.477174,0.657578,0.736203,0.421365,1.65358,0.464951,0.462038,0.461296
ncvxqp1.mtx,12111,12111,73963,0.117369,0.178419,0.15333,0.0952962,0.352981,0.100033,0.100238,0.100082
ncvxqp3.mtx,75000,75000,499964,0.715164,0.946669,0.881933,0.633491,2.39347,0.669001,0.667176,0.666498
ncvxqp5.mtx,62500,62500,424966,0.594362,0.756749,0.749092,0.528038,2.02795,0.561254,0.560261,0.558502
ncvxqp7.mtx,87500,87500,574962,0.835613,1.02789,1.01601,0.739187,2.72999,0.784125,0.786961,0.787885
ncvxqp9.mtx,16554,16554,54040,0.144418,0.191137,0.179734,0.0973295,0.349404,0.10195,0.0967531,0.0978567
nd12k.mtx,36000,36000,14220946,5.07608,8.76228,8.77948,5.43007,95.2612,5.26412,5.46489,5.50324
nd2010.mtx,133769,133769,625946,0.992078,0.992884,0.91784,0.510279,2.9643,0.626554,0.620883,0.620757
nd24k.mtx,72000,72000,28715634,10.1757,17.5965,17.6405,10.9155,192.464,10.3153,10.9903,11.0121
nd3k.mtx,9000,9000,3279690,1.22477,2.05936,2.08602,1.39759,21.7747,1.27402,1.27772,1.27804
nd6k.mtx,18000,18000,6897316,2.53633,4.30091,4.31147,2.77681,46.0737,2.61302,2.67505,2.67812
ne2010.mtx,193352,193352,913854,1.41919,1.40485,1.31224,0.71582,4.2906,0.885424,0.87798,0.87724
nemeth01.mtx,9506,9506,725054,0.257507,0.424267,0.430679,0.330101,3.02929,0.307188,0.298388,0.298292
nemeth02.mtx,9506,9506,394808,0.163584,0.264004,0.26594,0.200051,1.24752,0.231476,0.159426,0.15805
nemeth03.mtx,9506,9506,394808,0.163475,0.263348,0.26567,0.200083,1.24848,0.231334,0.159094,0.158278
nemeth04.mtx,9506,9506,394808,0.165666,0.26402,0.266724,0.201475,1.24671,0.230819,0.157282,0.157064
nemeth05.mtx,9506,9506,394808,0.163987,0.26408,0.26642,0.199731,1.24744,0.230278,0.15869,0.157059
nemeth06.mtx,9506,9506,394808,0.163091,0.264276,0.26626,0.200713,1.24744,0.230148,0.15853,0.157994
nemeth07.mtx,9506,9506,394812,0.164577,0.26498,0.26578,0.198995,1.24729,0.230162,0.160002,0.158338
nemeth08.mtx,9506,9506,394816,0.163172,0.263078,0.266885,0.200909,1.24911,0.231075,0.160591,0.160562
nemeth09.mtx,9506,9506,395506,0.162953,0.263972,0.267572,0.199251,1.25099,0.230836,0.159827,0.15909
nemeth10.mtx,9506,9506,401448,0.163558,0.269828,0.269933,0.196371,1.26759,0.235027,0.158354,0.15805
nemeth11.mtx,9506,9506,408264,0.165453,0.26746,0.273172,0.195955,1.28969,0.233012,0.157858,0.158683
nemeth12.mtx,9506,9506,446818,0.166019,0.287429,0.285206,0.210787,1.43513,0.237306,0.1624,0.161748
nemeth13.mtx,9506,9506,474472,0.172832,0.298021,0.300565,0.230084,1.55076,0.241923,0.163506,0.162963
nemeth14.mtx,9506,9506,496144,0.171506,0.313604,0.317632,0.230021,1.64442,0.243348,0.162481,0.16197
nemeth15.mtx,9506,9506,539802,0.185967,0.336825,0.338073,0.246517,1.83431,0.265172,0.181619,0.181986
nemeth16.mtx,9506,9506,587012,0.213427,0.344278,0.348614,0.272612,2.07507,0.320278,0.2133,0.214136
nemeth17.mtx,9506,9506,629620,0.230371,0.374021,0.373781,0.291572,2.3318,0.277779,0.270095,0.271732
nemeth18.mtx,9506,9506,695234,0.243542,0.418248,0.422616,0.319878,2.67764,0.297068,0.28811,0.290533
nemeth19.mtx,9506,9506,818302,0.266452,0.48932,0.481127,0.348277,3.44153,0.323144,0.296725,0.29794
nemeth20.mtx,9506,9506,971870,0.328693,0.571561,0.565097,0.412295,4.40279,0.369557,0.345018,0.345933
nemeth21.mtx,9506,9506,1173746,0.393286,0.665186,0.668427,0.485128,5.73126,0.440759,0.475736,0.477976
nemeth22.mtx,9506,9506,1358832,0.461384,0.75518,0.766552,0.572441,7.1761,0.517737,0.551033,0.549785
nemeth23.mtx,9506,9506,1506810,0.553772,0.839471,0.843562,0.674984,8.36197,0.595385,0.607034,0.606538
nemeth24.mtx,9506,9506,1506550,0.554809,0.839,0.838461,0.671259,8.39006,0.604967,0.617497,0.616457
nemeth25.mtx,9506,9506,1511758,0.558952,0.841276,0.844122,0.670555,8.41457,0.607112,0.617049,0.618585
nemeth26.mtx,9506,9506,1511760,0.557257,0.841085,0.843293,0.667243,8.43388,0.607784,0.620264,0.619928
nemsafm.mtx,334,2348,2826,0.0208714,0.101298,0.0705615,0.0352486,0.0455367,0.0324805,0.0322404,0.0322885
nemscem.mtx,651,1712,3840,0.0411046,0.140626,0.0770542,0.043406,0.0526888,0.101138,0.0955374,0.0952817
nemsemm1.mtx,3945,75352,1053986,2.32665,1.16186,1.16069,1.19448,7.20788,1.88662,1.23412,1.22437
nemsemm2.mtx,6943,48878,182012,1.15098,0.246564,0.238948,0.392422,1.00122,6.16434,2.10322,2.09658
nemspmm1.mtx,2372,8903,55867,0.100946,0.129266,0.0861774,0.106386,0.316196,0.353718,0.146658,0.145506
nemspmm2.mtx,2301,8734,68225,0.144754,0.142306,0.101842,0.161282,0.393861,0.554504,0.229235,0.226835
nemswrld.mtx,7138,28550,192283,0.186851,0.215843,0.191331,0.183299,1.05952,0.702362,0.285941,0.28634
neos1.mtx,131581,133473,599590,0.981168,0.952128,1.17153,0.411356,2.8998,0.543224,0.521137,0.521738
neos2.mtx,132568,134128,685087,0.978595,1.00205,1.07383,0.454263,3.1303,0.495561,0.481703,0.481159
neos3.mtx,512209,518832,2055024,3.73606,3.21246,3.09677,1.72734,10.1585,7.51801,7.08005,7.05627
neos.mtx,479119,515905,1526794,3.44912,3.03213,2.95899,1.46083,8.54232,1.71108,1.70902,1.71653
net100.mtx,29920,29920,2033200,0.701452,1.24373,1.20024,0.755612,9.57053,0.888545,0.895216,0.895088
net125.mtx,36720,36720,2577200,0.899456,1.57147,1.52916,0.915536,12.6258,1.1266,1.13128,1.13108
net150.mtx,43520,43520,3121200,1.1026,1.91053,1.86714,1.09482,15.6156,1.3971,1.4119,1.41778
net25.mtx,9520,9520,401200,0.180163,0.32735,0.283061,0.271413,1.58577,0.31551,0.175127,0.176947
net4-1.mtx,88343,88343,2441727,1.76286,1.81872,1.78398,1.12545,9.46336,6.89518,2.93324,2.92094
net50.mtx,16320,16320,945200,0.357943,0.630443,0.605275,0.438472,3.96198,0.606369,0.359591,0.358247
net75.mtx,23120,23120,1489200,0.530234,0.934993,0.893744,0.539594,6.70718,0.675651,0.664124,0.664204
netscience.mtx,1589,1589,5484,0.0318247,0.113362,0.0782574,0.0381928,0.0636011,0.0457448,0.0440329,0.0441128
netz4504_dual.mtx,615,615,2342,0.0221124,0.090018,0.0701293,0.0299687,0.0427047,0.0227044,0.0227685,0.0227202
netz4504.mtx,1961,1961,5156,0.0316008,0.114578,0.0810736,0.0326564,0.0658892,0.0240876,0.0240893,0.0242203
nh2010.mtx,48837,48837,234550,0.373763,0.402327,0.374854,0.221707,1.13546,0.268382,0.265461,0.265225
nj2010.mtx,169588,169588,829912,1.26503,1.25821,1.17793,0.701843,3.96566,0.857917,0.854719,0.854576
nl.mtx,7039,15325,47035,0.0936818,0.150515,0.109906,0.0726893,0.261877,0.158803,0.152131,0.152835
nm2010.mtx,168609,168609,830970,1.25611,1.24401,1.16172,0.692681,3.97896,0.89821,0.889583,0.888624
nmos3.mtx,18588,18588,386594,0.186019,0.352999,0.355025,182.723,1.26384,0.252373,0.200371,0.200627
nnc1374.mtx,1374,1374,8606,0.222064,0.224116,26.7705,,33.0209,0.219648,0.219064,0.219364
nnc261.mtx,261,261,1500,0.219364,0.553788,0.547241,0.54577,0.223364,,31.241,
nnc666.mtx,666,666,4044,,0.521538,0.519527,0.519467,0.22556,0.0296167,0.520027,0.520311
nopoly.mtx,10774,10774,70842,9.88945,0.899101,0.897715,0.219711,291.153,3.1445,3.16266,3.16567
nopss_11k.mtx,11685,11685,44941,8.08413,0.818111,0.747012,0.825213,,3.42863,3.38577,3.31993
nos1.mtx,237,237,1017,0.523795,0.530693,0.505181,,294.03,0.236804,0.298085,0.213483
nos2.mtx,957,957,4137,1.06594,0.502016,0.506387,0.491936,0.224857,0.498336,0.494994,0.498283
nos3.mtx,960,960,15844,1.15774,0.497892,0.508191,0.500547,0.225426,0.578888,0.522621,0.491047
nos4.mtx,100,100,594,0.557989,0.558933,0.564058,0.505444,305.149,,0.39402,0.417252
nos5.mtx,468,468,5172,0.560512,0.535365,0.537558,0.528677,305.008,0.519444,0.532982,0.533836
