mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
mk10-b1.mtx,630,45,1260,0.0142223,0.0327366,0.035396,0.0243363,0.0313283,0.0132979,0.0135113,0.0135646
mk10-b2.mtx,3150,630,9450,0.0156979,0.0405606,0.033969,0.0260163,0.0334232,0.0140267,0.014169,0.014098
mk10-b3.mtx,4725,3150,18900,0.0162669,0.0349606,0.0399364,0.0275684,0.0341925,0.0146306,0.0147026,0.0146971
mk10-b4.mtx,945,4725,4725,0.0147736,0.0418566,0.0358243,0.0268323,0.0324003,0.013867,0.0138847,0.0139734
mk11-b1.mtx,990,55,1980,0.0144533,0.0334403,0.0365443,0.0244803,0.0321603,0.0134001,0.0136534,0.0134936
mk11-b2.mtx,6930,990,20790,0.0167467,0.0436967,0.0362403,0.0285445,0.0354567,0.0152158,0.0151644,0.0151804
mk11-b3.mtx,17325,6930,69300,0.019947,0.0404486,0.0460489,0.0358939,0.0392163,0.0193603,0.0195362,0.019485
mk11-b4b.mtx,9450,17325,47250,0.0173691,0.0489286,0.0412805,0.0313284,0.0369765,0.0161247,0.0161394,0.0160711
mk11-b4.mtx,10395,17325,51975,0.0178669,0.0494085,0.0422565,0.0318085,0.0373926,0.0182722,0.0169426,0.0171913
mk12-b1.mtx,1485,66,2970,0.0151201,0.0346242,0.0366085,0.0248642,0.0325446,0.0135824,0.0136713,0.0136002
mk12-b2.mtx,13860,1485,41580,0.0180446,0.0475046,0.0385427,0.0313124,0.0379044,0.0184333,0.0187043,0.0185069
mk12-b3.mtx,51975,13860,207900,0.0290882,0.0587206,0.0725376,0.0476101,0.0625611,0.0312963,0.0299523,0.0301336
mk12-b4.mtx,62370,51975,311850,0.0338883,0.103825,0.0842091,0.054425,0.0749173,0.0364966,0.0349766,0.0349443
mk12-b5.mtx,10395,62370,62370,0.0190227,0.0443053,0.0458412,0.0330888,0.038945,0.0197284,0.0181868,0.018187
mk13-b5.mtx,135135,270270,810810,0.0685471,0.166802,0.193554,0.103039,0.14981,0.074289,0.0712354,0.0707205
mk9-b1.mtx,378,36,756,0.0142581,0.0324324,0.0350886,0.0244964,0.0311683,0.0132979,0.0134581,0.0135824
mk9-b2.mtx,1260,378,3780,0.0148268,0.039601,0.0321285,0.0253338,0.0323362,0.013778,0.0138669,0.01392
mk9-b3.mtx,945,1260,3780,0.0146134,0.0325123,0.0368804,0.0258806,0.0319045,0.0138136,0.0138847,0.0139381
ML_Laplace.mtx,377002,377002,27689972,0.744653,3.49649,4.0268,1.26472,3.71607,1.06758,1.04384,1.04365
mn2010.mtx,259777,259777,1227102,0.12325,0.300866,0.269427,0.191986,0.220362,0.140781,0.133106,0.132764
mo2010.mtx,343565,343565,1656568,0.161538,0.386869,0.3441,0.253075,0.284569,0.187394,0.176747,0.17717
mod2.mtx,34774,66409,199810,0.0730889,0.081937,0.078241,0.0969612,0.077345,0.068977,0.0706409,0.0705609
model10.mtx,4400,16819,150372,0.085185,0.075585,0.077457,0.21189,0.064209,0.105842,0.090353,0.0903052
model1.mtx,362,798,3028,0.0211202,0.0403711,0.0360005,0.0451684,0.0339687,0.0197443,0.0206243,0.0202848
model2.mtx,379,1321,7607,0.0322564,0.0402726,0.0379525,0.0713448,0.0396325,0.0375365,0.0340807,0.0341283
model3.mtx,1609,4578,23974,0.0382409,0.0449602,0.041825,0.0980654,0.0416167,0.0360484,0.0380642,0.0382083
model4.mtx,1337,4962,45753,0.072193,0.0551688,0.0569447,0.189154,0.0510727,0.0936544,0.0752809,0.075569
model5.mtx,1888,11802,89925,0.0643847,0.0760169,0.0767049,0.163538,0.054241,0.0718408,0.0654568,0.0655296
model6.mtx,2096,5289,27628,0.047504,0.0462725,0.0464486,0.113755,0.046559,0.0445607,0.0474724,0.0475369
model7.mtx,3358,9582,51027,0.0447527,0.0486886,0.0458405,0.108546,0.0498566,0.0548967,0.0483206,0.0484165
model8.mtx,2896,6464,25277,0.0223842,0.0443685,0.0400803,0.0538247,0.038016,0.0211203,0.0215522,0.0217602
model9.mtx,2879,10939,55956,0.0430725,0.0480487,0.0447649,0.0986093,0.0489127,0.0505126,0.0462247,0.0461124
mono_500Hz.mtx,169410,169410,5036288,0.354309,0.769098,0.763274,0.651641,0.648377,0.395076,0.372772,0.373189
mouse_gene.mtx,45101,45101,28967291,2.66042,53.7464,54.0942,6.21254,8.08288,2.9595,2.93841,2.9345
mplate.mtx,5962,5962,142190,0.0222229,0.0527527,0.0515207,0.0492166,0.0443527,0.0223778,0.0222403,0.0221762
mri1.mtx,65536,147456,589824,0.0472486,0.14469,0.122402,0.0766568,0.095633,0.0520325,0.0498566,0.0500966
mri2.mtx,63240,147456,569160,0.046961,0.13685,0.114817,0.072993,0.0924178,0.0520833,0.0493444,0.0494407
ms2010.mtx,171778,171778,839980,0.0911952,0.21586,0.194341,0.146656,0.16365,0.102369,0.0976493,0.0976011
msc00726.mtx,726,726,34518,0.0268483,0.0384322,0.0379848,0.070161,0.0369762,0.0290564,0.0275364,0.0275045
msc01050.mtx,1050,1050,29156,0.0319363,0.038737,0.0388005,0.0678409,0.040224,0.0354084,0.0335045,0.0332642
msc01440.mtx,1440,1440,46270,0.0208641,0.0387044,0.038192,0.0545604,0.0341283,0.0216548,0.0213762,0.0214083
msc04515.mtx,4515,4515,97707,0.0206724,0.0438564,0.0430085,0.0472487,0.0367526,0.0204981,0.0206083,0.0207362
msc10848.mtx,10848,10848,1229778,0.135682,0.321172,0.325076,0.329028,0.254915,0.158386,0.133346,0.133458
msc23052.mtx,23052,23052,1154814,0.0668008,0.177954,0.18477,0.142306,0.171477,0.075633,0.072817,0.074017
msdoor.mtx,415863,415863,20240935,0.606347,2.42126,2.50227,1.14543,2.43514,0.884188,0.879372,0.879484
m_t1.mtx,97578,97578,9753570,0.292884,1.85867,1.86743,0.609798,1.5904,0.401301,0.395941,0.396421
mt2010.mtx,132288,132288,638668,0.0801257,0.175411,0.158386,0.144048,0.134818,0.0870862,0.0842571,0.0842037
mult_dcop_01.mtx,25187,25187,193276,2.69746,4.10078,3.98682,0.342804,0.103249,2.53413,2.75043,2.7539
mult_dcop_02.mtx,25187,25187,193276,2.67894,1.5008,1.51164,0.342276,0.101665,2.54965,2.75219,2.74011
mult_dcop_03.mtx,25187,25187,193216,2.68248,3.04876,2.83504,0.35005,0.103248,2.54577,2.7533,2.75867
Muu.mtx,7102,7102,170134,0.0254848,0.0525281,0.0539208,0.0598894,0.0475689,0.026416,0.0258721,0.0257541
n2c6-b10.mtx,30,306,330,0.0160363,0.0364806,0.0313607,0.0283528,0.0280806,0.0149158,0.0150937,0.0152
