mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
wm2.mtx,207,260,2942,0.032463806,0.022679443,0.064778219,0.033031314,0.035092114,0.030543069,0.02682899,0.027431235
wm3.mtx,207,260,2948,0.032294816,0.022666636,0.064246175,0.032733733,0.035020403,0.030289642,0.026884442,0.027459144
Wordnet3.mtx,82670,82670,132964,0.04725182,0.03531465,0.055639782,0.05626778,0.028247181,0.055861136,0.101660225,0.16858051
WorldCities.mtx,315,100,7518,0.056233731,0.018971554,0.076744435,0.036471333,0.028384539,0.030487174,0.026514777,0.025685177
world.mtx,34506,67147,198883,0.08668381,0.078656158,0.217319875,0.049542027,0.111748439,0.060562294,0.045566039,0.046385975
wv2010.mtx,135218,135218,662922,0.069985289,0.058508837,0.222992153,0.112133095,0.048166233,0.068507574,0.070401381,0.077333002
ww_36_pmec_36.mtx,66,66,1194,0.021434919,0.016542895,0.029749595,0.029812734,0.020108288,0.024489796,0.024102222,0.023832811
ww_vref_6405.mtx,13251,13251,48737,0.029561036,0.025220956,0.048477211,0.044112489,0.018780589,0.033051815,0.037286302,0.042115114
wy2010.mtx,86204,86204,427586,0.054738593,0.053419227,0.113742898,0.075044144,0.042141196,0.059343986,0.059669167,0.064816364
x104.mtx,108384,108384,10167624,0.290807828,0.24035127,1.962605463,0.65098358,0.221427652,0.312160062,0.236043316,0.24660479
xenon1.mtx,48600,48600,1181120,0.066130761,0.053410405,0.233861647,0.117859163,0.045485162,0.062512181,0.061264177,0.064212416
xenon2.mtx,157464,157464,3866688,0.221940856,0.219509074,0.779240817,0.308351866,0.106586216,0.22368384,0.22447819,0.222586559
xingo3012.mtx,20944,20944,74386,0.030647941,0.026568246,0.043488149,0.045393687,0.020950702,0.035571985,0.039638729,0.046425442
xingo_afonso_itaipu.mtx,13250,13250,48735,0.029350963,0.025042142,0.048352124,0.044084145,0.018733675,0.033061243,0.036971795,0.04210329
yeast.mtx,2361,2361,13828,0.044876798,0.023801164,0.064713136,0.0416656,0.019803994,0.032624903,0.032223598,0.034193867
young1c.mtx,841,841,4089,0.025137012,0.01495269,0.020344751,0.037315544,0.015270597,0.025611555,0.027815853,0.030285412
young2c.mtx,841,841,4089,0.025043101,0.014835482,0.020152685,0.037369085,0.015222785,0.025585193,0.027732375,0.030139864
young3c.mtx,841,841,3988,0.024947141,0.01480203,0.020817184,0.037000269,0.015302295,0.025598398,0.028119359,0.030334493
young4c.mtx,841,841,4089,0.025039344,0.014863416,0.020199775,0.037131714,0.015446918,0.025547548,0.027769855,0.030509689
Zd_Jac2_db.mtx,22835,22835,676439,0.10600794,0.040870023,0.265982665,0.077459059,0.208154003,0.070370987,0.058686386,0.071795027
Zd_Jac2.mtx,22835,22835,1642833,0.205262988,0.067270203,0.801522315,0.134198609,0.106931444,0.190284387,0.088675242,0.087338085
Zd_Jac3_db.mtx,22835,22835,713907,0.108600054,0.041495726,0.279694529,0.077717457,0.219320843,0.072115759,0.060446189,0.072942586
Zd_Jac3.mtx,22835,22835,1916152,0.217516042,0.072915142,0.918238894,0.145548292,0.133366115,0.228008816,0.100961085,0.089596399
Zd_Jac6_db.mtx,22835,22835,663643,0.097043289,0.039028544,0.277367238,0.077797785,0.220231733,0.066103936,0.059525141,0.072701202
Zd_Jac6.mtx,22835,22835,1711983,0.209632912,0.065473375,0.850812392,0.134273029,0.129598645,0.19601358,0.090718473,0.089872757
zed.mtx,116,142,666,0.017486741,0.015103411,0.019092395,0.029563866,0.015163071,0.023674529,0.024314556,0.025801953
zenios.mtx,2873,2873,27191,0.040631127,0.01793135,0.065669544,0.037956854,0.022860991,0.031603184,0.035229306,0.041280452
zeros_nopss_13k.mtx,13296,13296,48827,0.029494904,0.025236468,0.04866109,0.044102777,0.018754488,0.033135422,0.03721183,0.042220139
Zewail.mtx,6752,6752,54233,0.05982024,0.031084988,0.163708426,0.042573485,0.044342749,0.046001298,0.041788331,0.05236324
Zhao1.mtx,33861,33861,166453,0.026802183,0.021357222,0.026489034,0.04868617,0.020685929,0.036605664,0.039572426,0.04276776
