mtx,rows,cols,nnz,cusparse_0(ms),cusparse_2(ms),cusparse_3(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
adder_dcop_29.mtx,1813,1813,11246,0.014058018,0.014083202,0.018731642,0.023265292,0.11067536,0.013968963,0.013078303,0.01599488,0.01238592,0.01255424
adder_dcop_30.mtx,1813,1813,11246,0.014037111,0.014104813,0.018658592,0.023242332,0.110754383,0.013926142,0.01307087,0.015914121,0.012325498,0.012546585
adder_dcop_31.mtx,1813,1813,11246,0.014006952,0.013984649,0.018589382,0.023250429,0.110680261,0.013969779,0.013080562,0.015959187,0.012186182,0.012546669
adder_dcop_32.mtx,1813,1813,11246,0.01401369,0.014067919,0.018583592,0.02327208,0.110627456,0.014009858,0.013076896,0.015935352,0.012209633,0.012591503
adder_dcop_33.mtx,1813,1813,11246,0.014105538,0.014174403,0.018944971,0.02337176,0.110813314,0.014257922,0.0131778,0.016182715,0.012359437,0.012733711
adder_dcop_34.mtx,1813,1813,11246,0.014350547,0.014393857,0.018989581,0.02346473,0.110957086,0.014191038,0.013259431,0.016198402,0.012353918,0.012810991
adder_dcop_35.mtx,1813,1813,11246,0.014158548,0.014172117,0.018840156,0.023311516,0.11070859,0.014151679,0.01308114,0.016043311,0.012289602,0.012819921
adder_dcop_36.mtx,1813,1813,11246,0.014176333,0.014193814,0.018921272,0.023333814,0.110765837,0.014229337,0.013105958,0.016101494,0.012314829,0.012752165
adder_dcop_37.mtx,1813,1813,11246,0.014193957,0.014140443,0.018855113,0.023391351,0.110788206,0.01408359,0.013169636,0.016048325,0.01241891,0.012700765
adder_dcop_38.mtx,1813,1813,11246,0.014087506,0.014120726,0.018656642,0.023170908,0.110621471,0.013996162,0.01309388,0.015983513,0.012278948,0.012567919
adder_dcop_39.mtx,1813,1813,11246,0.014011429,0.014025697,0.018581657,0.02332832,0.110730936,0.014029572,0.013066238,0.015885437,0.01212865,0.012550534
adder_dcop_40.mtx,1813,1813,11246,0.014060084,0.013973875,0.018688653,0.023163796,0.110697693,0.013969596,0.013053385,0.015985774,0.012223355,0.012660786
adder_dcop_41.mtx,1813,1813,11246,0.014084851,0.014072487,0.018718064,0.023187724,0.110692245,0.013991112,0.013106615,0.01591786,0.012326207,0.012560164
adder_dcop_42.mtx,1813,1813,11246,0.014179881,0.014127679,0.018916848,0.023292758,0.110718945,0.014159671,0.013175183,0.016156769,0.012299757,0.01266286
adder_dcop_43.mtx,1813,1813,11246,0.014122987,0.014189901,0.018804684,0.02330019,0.110857554,0.014176637,0.013150063,0.016134783,0.012402749,0.012697216
adder_dcop_44.mtx,1813,1813,11245,0.014179595,0.014228243,0.018868241,0.023302464,0.110864089,0.014156603,0.013105152,0.016109577,0.012491634,0.012734367
adder_dcop_45.mtx,1813,1813,11246,0.014300119,0.014280408,0.018835723,0.023268854,0.110803488,0.014167841,0.01314155,0.016152894,0.012469653,0.012710203
adder_dcop_46.mtx,1813,1813,11246,0.014006202,0.013978721,0.018660481,0.023236521,0.110796392,0.014024079,0.013025981,0.015934697,0.012382367,0.012586669
adder_dcop_47.mtx,1813,1813,11246,0.014050615,0.014098748,0.018650825,0.02333609,0.110770746,0.013988902,0.013106745,0.015980084,0.012169145,0.012626939
adder_dcop_48.mtx,1813,1813,11246,0.014093385,0.014110387,0.018879359,0.023243629,0.110788752,0.014128957,0.013032079,0.016123147,0.012272322,0.0126303
adder_dcop_49.mtx,1813,1813,11246,0.014017629,0.013962988,0.018601697,0.023235561,0.110769655,0.014006717,0.013094788,0.016056642,0.01224113,0.012538828
adder_dcop_50.mtx,1813,1813,11246,0.014091964,0.014084895,0.018930748,0.023334468,0.110818774,0.014263682,0.013177537,0.016179712,0.012356205,0.012663751
adder_dcop_51.mtx,1813,1813,11246,0.01429107,0.014310929,0.019025449,0.023387532,0.110763655,0.014099517,0.013100081,0.016062708,0.012439921,0.012645937
adder_dcop_52.mtx,1813,1813,11246,0.014031349,0.014023511,0.018855429,0.023277258,0.11072494,0.014174064,0.013088981,0.01609503,0.01227604,0.012648725
adder_dcop_53.mtx,1813,1813,11246,0.014113292,0.01415273,0.018625619,0.023223278,0.110672092,0.013954559,0.013022044,0.015910203,0.012230081,0.012638696
adder_dcop_54.mtx,1813,1813,11246,0.013981415,0.014003072,0.018511843,0.023244278,0.110654669,0.013991356,0.013104805,0.015914245,0.01227604,0.012625457
adder_dcop_55.mtx,1813,1813,11246,0.013965901,0.014012083,0.018692195,0.023290829,0.110724395,0.014018563,0.013053741,0.016049275,0.012201466,0.012627591
adder_dcop_56.mtx,1813,1813,11246,0.014036366,0.014074557,0.018841213,0.023285645,0.110760382,0.014096318,0.013134866,0.016035522,0.012309012,0.01272889
adder_dcop_57.mtx,1813,1813,11246,0.014033774,0.014054145,0.018640809,0.02326368,0.110656847,0.013964479,0.013168325,0.015975998,0.012308689,0.012535509
adder_dcop_58.mtx,1813,1813,11246,0.014185694,0.014207029,0.018936246,0.023452766,0.110696058,0.014229121,0.013225376,0.016203315,0.012391112,0.012701059
adder_dcop_59.mtx,1813,1813,11246,0.014189713,0.014242564,0.018974714,0.023307313,0.110762564,0.014238083,0.013267394,0.0161248,0.012367517,0.01282253
adder_dcop_60.mtx,1813,1813,11246,0.014128984,0.014203799,0.018884844,0.023307627,0.110703686,0.014210943,0.013134697,0.016167186,0.01232614,0.012691591
adder_dcop_61.mtx,1813,1813,11246,0.014149498,0.014176324,0.018872247,0.023477344,0.110800213,0.014122561,0.013155594,0.015998703,0.012397389,0.012687518
adder_dcop_62.mtx,1813,1813,11246,0.014148199,0.014160812,0.018921049,0.023286946,0.110850451,0.014040318,0.013150371,0.016073372,0.012385319,0.012661335
adder_dcop_63.mtx,1813,1813,11246,0.014058018,0.014066423,0.018751037,0.023363239,0.110772928,0.014061578,0.013074882,0.016170883,0.012367191,0.012730122
adder_dcop_64.mtx,1813,1813,11246,0.014100896,0.014113619,0.018805973,0.023363554,0.110820412,0.014135919,0.013198547,0.016146423,0.012452201,0.012720806
adder_dcop_65.mtx,1813,1813,11246,0.014059758,0.014142719,0.018943998,0.02322877,0.110759837,0.014204158,0.01309414,0.016218563,0.012357169,0.012623998
adder_dcop_66.mtx,1813,1813,11246,0.014194423,0.014158548,0.018882592,0.023452766,0.110736388,0.014099517,0.013119352,0.016120963,0.012434103,0.01272889
adder_dcop_67.mtx,1813,1813,11246,0.014147264,0.014161133,0.018803835,0.023375039,0.110698238,0.014205091,0.013161051,0.016180364,0.012518464,0.012798693
adder_dcop_68.mtx,1813,1813,11246,0.014058669,0.014067717,0.01864016,0.023279523,0.110712405,0.013954905,0.013031513,0.016002584,0.012318383,0.012563265
adder_dcop_69.mtx,1813,1813,11246,0.014193303,0.014219639,0.018893902,0.023268517,0.110768564,0.014052476,0.013163755,0.016049275,0.012396801,0.01265293
adder_trans_01.mtx,1814,1814,14579,0.013780685,0.013684242,0.018973117,0.014454532,0.11272844,0.013610447,0.013295347,0.015818987,0.012116246,0.012331874
adder_trans_02.mtx,1814,1814,14579,0.01365344,0.013593403,0.01904905,0.01435733,0.112687923,0.013752243,0.013285497,0.01580412,0.011975182,0.012177484
adjnoun.mtx,112,112,850,0.012151189,0.012049303,0.012209486,0.006734514,0.010344974,0.0107032,0.00642319,0.010720006,0.010708459,0.011026216
af_0_k101.mtx,503625,503625,17550675,0.11989856,0.11999008,0.13809056,0.361902722,1.324541108,0.150338561,0.1523952,0.195829121,0.196002241,0.19733888
af_1_k101.mtx,503625,503625,17550675,0.12017728,0.1201808,0.138288641,0.362099838,1.32190655,0.15057728,0.15270624,0.19582048,0.196033601,0.197268481
af23560.mtx,23560,23560,484256,0.022912344,0.022827865,0.0230272,0.016296,0.020846185,0.023476747,0.015339116,0.022491429,0.022154323,0.021958737
af_2_k101.mtx,503625,503625,17550675,0.120089279,0.12013856,0.138652799,0.362471361,1.319923204,0.150442241,0.152760001,0.1959536,0.19619904,0.19752416
af_3_k101.mtx,503625,503625,17550675,0.11957984,0.11983392,0.137777599,0.36364416,1.321959023,0.14989728,0.15334976,0.1970672,0.19752448,0.198552
af_4_k101.mtx,503625,503625,17550675,0.11989696,0.12021696,0.1384864,0.362920639,1.323436795,0.150928959,0.15244672,0.195869121,0.19601024,0.19758656
af_5_k101.mtx,503625,503625,17550675,0.11961664,0.11978144,0.137635519,0.361863041,1.322195501,0.14983232,0.15190816,0.1953664,0.19567616,0.197088
af_shell10.mtx,1508065,1508065,52672325,0.32192576,0.321939201,0.347343041,1.055382726,4.165147902,0.387327041,0.42396384,0.549667839,0.54993504,0.553177283
af_shell1.mtx,504855,504855,17588875,0.11965568,0.1198384,0.137910399,0.367803843,1.339774386,0.15039968,0.151296,0.1956592,0.195812799,0.19686656
af_shell2.mtx,504855,504855,17588875,0.1196896,0.1199424,0.13807424,0.367845761,1.338813737,0.151030399,0.15160864,0.195348801,0.195610241,0.19695968
af_shell3.mtx,504855,504855,17588875,0.11966912,0.11989664,0.13766752,0.3679392,1.337520316,0.15104352,0.15109472,0.19552096,0.19575872,0.19689056
af_shell4.mtx,504855,504855,17588875,0.11983328,0.120064,0.13756256,0.367944322,1.339991029,0.150947521,0.15142272,0.19565888,0.1959872,0.19720896
af_shell5.mtx,504855,504855,17588875,0.12006752,0.12028864,0.138351039,0.367377598,1.340479994,0.150861761,0.15108384,0.1957744,0.196019201,0.19732512
af_shell6.mtx,504855,504855,17588875,0.11973664,0.11997664,0.138144961,0.367526081,1.337614709,0.151076159,0.15091424,0.195580801,0.19596096,0.197054721
af_shell7.mtx,504855,504855,17588875,0.11985824,0.12012768,0.13894496,0.367820802,1.340119057,0.15072896,0.15151872,0.195691199,0.195991359,0.197238081
af_shell8.mtx,504855,504855,17588875,0.1199984,0.120149119,0.13847968,0.36739872,1.338839673,0.15104224,0.15108,0.19585792,0.19596032,0.19714688
af_shell9.mtx,504855,504855,17588875,0.11976,0.1200896,0.13799104,0.367612158,1.339910386,0.15056736,0.150929281,0.19551328,0.195990401,0.1972544
aft01.mtx,8205,8205,125567,0.013190598,0.013234939,0.019022222,0.006560333,0.010938,0.013568,0.007337,0.011536825,0.011795394,0.012022857
aft02.mtx,8184,8184,127762,0.012687667,0.012708667,0.018731636,0.007230333,0.019529373,0.013868082,0.008743258,0.011537333,0.011757856,0.012102598
air02.mtx,50,6774,61555,0.011266263,0.011271917,0.015794424,0.011920808,0.580121952,0.0131008,0.058967675,0.01493472,0.01118848,0.010647273
air03.mtx,124,10757,91028,0.011348898,0.01138912,0.01620898,0.01266969,0.654002558,0.01366816,0.077989451,0.015301496,0.011509333,0.011105633
air04.mtx,823,8904,72965,0.012132898,0.012126021,0.018219314,0.007926857,0.098301465,0.014007359,0.011620525,0.012942845,0.011613091,0.01137907
air05.mtx,426,7195,52121,0.011841306,0.011857306,0.016922449,0.008126041,0.082789765,0.013923879,0.012307394,0.012592327,0.01129891,0.011111999
air06.mtx,825,8627,70806,0.012794829,0.01281632,0.018619152,0.007791505,0.098375073,0.014120727,0.011739102,0.012970776,0.01163264,0.011413551
aircraft.mtx,3754,7517,20267,0.013731267,0.01369138,0.019418508,0.006057872,0.007004903,0.013684243,0.006131775,0.011602286,0.01209765,0.012703019
airfoil1_dual.mtx,8034,8034,23626,0.013690002,0.01366037,0.019063595,0.006147,0.006384979,0.014293981,0.006073402,0.011565,0.012612618,0.014348733
airfoil1.mtx,4253,4253,24578,0.013911919,0.013859879,0.019175436,0.006076215,0.007420041,0.014086788,0.006114087,0.011493224,0.011984486,0.012560485
