mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
lshp1561.mtx,1561,1561,10681,0.023544375,0.014595697,0.020683919,0.034255384,0.015442905,0.026059705,0.027542051,0.028767077
lshp1882.mtx,1882,1882,12904,0.024550943,0.01478544,0.02075237,0.034765975,0.015719926,0.026033502,0.027839594,0.029083041
lshp2233.mtx,2233,2233,15337,0.024483671,0.014628651,0.020765186,0.036652411,0.015741291,0.028586153,0.030378568,0.031467452
lshp2614.mtx,2614,2614,17980,0.024542122,0.014522193,0.020562495,0.037259731,0.01581744,0.028621321,0.030590015,0.031645458
lshp_265.mtx,265,265,1753,0.02077088,0.014420921,0.015527428,0.029494406,0.0147631,0.023916069,0.025600958,0.026826021
lshp3025.mtx,3025,3025,20833,0.024735347,0.014575738,0.020680512,0.03754086,0.016079281,0.028884115,0.030578329,0.031806884
lshp3466.mtx,3466,3466,23896,0.024783369,0.014623309,0.020752657,0.037063433,0.016356811,0.028933162,0.030744568,0.031960026
lshp_406.mtx,406,406,2716,0.023947027,0.014573669,0.01747062,0.03049133,0.015023329,0.024650572,0.026187779,0.027437392
lshp_577.mtx,577,577,3889,0.021580259,0.014526859,0.018383622,0.034827853,0.014928524,0.024905061,0.026666118,0.02786655
lshp_778.mtx,778,778,5272,0.023389789,0.014565648,0.019544529,0.035042008,0.015067959,0.025152072,0.026733399,0.027926687
lund_a.mtx,147,147,2449,0.025444024,0.015447644,0.02408205,0.030197287,0.019127657,0.024581443,0.0248661,0.02481558
lund_b.mtx,147,147,2441,0.025726828,0.016007712,0.024031977,0.030054359,0.019062568,0.024504588,0.024807919,0.024744546
lung1.mtx,1650,1650,7419,0.023964997,0.014660607,0.019278517,0.035825609,0.015629394,0.026009038,0.028504905,0.031160944
lung2.mtx,109460,109460,492564,0.031213761,0.029203265,0.044164572,0.068715288,0.031042422,0.045080668,0.050777857,0.056372285
lutz30-23-b6.mtx,1716,3003,12012,0.023946414,0.014826317,0.021349941,0.032790913,0.015539035,0.025966165,0.027819465,0.028883297
luxembourg_osm.mtx,114599,114599,239332,0.024331821,0.022156536,0.023472739,0.05673736,0.030500711,0.040459595,0.046802655,0.053065615
M10PI_n1.mtx,528,528,1317,0.019328564,0.015454391,0.016467234,0.029941345,0.014850145,0.02469622,0.029142971,0.032990982
M10PI_n.mtx,682,682,1633,0.020075976,0.015775796,0.016829066,0.030192656,0.01501554,0.024451781,0.029041695,0.033856839
m133-b3.mtx,200200,200200,800800,0.037652868,0.03545013,0.054736769,0.095601986,0.043226243,0.056157268,0.065883827,0.077727462
m14b.mtx,214765,214765,3358036,0.172722507,0.155829393,0.650416563,0.218724428,0.130451477,0.145399897,0.14908775,0.157095867
M20PI_n1.mtx,1028,1028,2547,0.020487946,0.015451534,0.017393798,0.032357855,0.015189239,0.025560612,0.029899806,0.034015559
M20PI_n.mtx,1182,1182,2881,0.020770626,0.016329654,0.017169914,0.033042591,0.015592949,0.025430985,0.029805195,0.034132038
m3plates.mtx,11107,11107,6639,0.01859505,0.014303889,0.01451395,0.04117005,0.016296164,0.033280698,0.048351328,0.066974013
M40PI_n1.mtx,2028,2028,5007,0.020860631,0.015755613,0.017480314,0.037254049,0.015768763,0.025947509,0.030322483,0.034449662
M40PI_n.mtx,2182,2182,5341,0.02082387,0.015832949,0.016878077,0.039133079,0.015950306,0.028229163,0.03269096,0.037118632
M6.mtx,3501776,3501776,21003872,1.354586096,1.264309009,3.112407972,1.731261406,1.207818887,1.279017116,1.303749105,1.342758056
M80PI_n1.mtx,4028,4028,9927,0.020151926,0.015445812,0.017276096,0.040137146,0.016354538,0.02855417,0.033236629,0.037272118
M80PI_n.mtx,4182,4182,10261,0.02054353,0.015848903,0.016907094,0.040138869,0.016146278,0.029174729,0.033673868,0.038340103
ma2010.mtx,157508,157508,776610,0.066739171,0.055926,0.099520256,0.093779411,0.046260313,0.06492864,0.068846366,0.076317623
mac_econ_fwd500.mtx,206500,206500,1273389,0.0695015,0.059462779,0.143513091,0.096659902,0.051866839,0.063511413,0.068973382,0.078854735
mahindas.mtx,1258,1258,7682,0.036434348,0.021461128,0.039507824,0.03655232,0.027217344,0.028870094,0.028728228,0.031461558
majorbasis.mtx,160000,160000,1750416,0.066280121,0.058588302,0.225485053,0.102142013,0.05152118,0.067338385,0.073489675,0.081414819
man_5976.mtx,5976,5976,225046,0.081383674,0.020645287,0.146519236,0.041629428,0.021236699,0.035825621,0.034363312,0.033990235
Maragal_1.mtx,32,14,234,0.016850292,0.014391144,0.016716674,0.026496065,0.014956377,0.021647625,0.021433478,0.021321185
Maragal_2.mtx,555,350,4357,0.032893694,0.023098129,0.047478165,0.034892009,0.022993419,0.02866702,0.027789205,0.029786972
Maragal_3.mtx,1690,860,18391,0.066442434,0.044054942,0.221016452,0.03657004,0.086413111,0.052695671,0.032938239,0.034914891
