Matrix,row,col,nnz,Alphasparse_w_time_buf_s (ms),Alphasparse_w_time_anly_s (ms),Alphasparse_w_time_solv_s (ms),Alphasparse_w_time_totl_s (ms),Alphasparse_wo_time_buf_s (ms),Alphasparse_wo_time_anly_s (ms),Alphasparse_wo_time_solv_s (ms),Alphasparse_wo_time_totl_s (ms),cusparse_time_buf_s (ms),cusparse_time_anly_s (ms),cusparse_time_solv_s (ms),cusparse_time_totl_s (ms),Alphasparse_w_time_buf_d (ms),Alphasparse_w_time_anly_d (ms),Alphasparse_w_time_solv_d(ms),Alphasparse_w_time_totl_d (ms),Alphasparse_wo_time_buf_d (ms),Alphasparse_wo_time_anly_d (ms),Alphasparse_wo_time_solv_d (ms),Alphasparse_wo_time_totl_d (ms),cusparse_time_buf_d (ms),cusparse_time_anly_d (ms),cusparse_time_solv_d (ms),cusparse_time_totl_d (ms)
as-caida.mtx,31379,31379,138141,0.007776,19.0517,0.12831,19.1878,0.002688,0.007648,0.429974,0.44031,0.005696,28.3274,0.204045,28.5372,1.39363,21.3543,0.138339,22.8863,0.002816,0.007104,0.474023,0.483943,0.006432,26.5993,0.217434,26.8232
ash292.mtx,292,292,2208,0.005728,18.7333,0.130314,18.8694,0.002496,0.006592,0.167638,0.176726,0.005728,23.3257,0.115328,23.4468,0.006688,16.8026,0.145664,16.9549,0.002496,0.007072,0.158832,0.1684,0.00608,22.9298,0.122394,23.0583
ash85.mtx,85,85,523,0.005856,18.745,0.0780832,18.829,0.00304,0.006784,0.0867584,0.0965824,0.006336,22.795,0.0686272,22.87,0.00688,17.2171,0.0636512,17.2876,0.002496,0.0072,0.0730976,0.0827936,0.006144,22.6908,0.0571776,22.7541
asia_osm.mtx,11950757,11950757,37373963,0.273952,287.383,44.6024,332.259,0.003968,0.010208,16.6008,16.6149,0.007648,68.4125,12.5399,80.96,0.364768,250.791,47.3308,298.487,0.004512,0.00912,23.6368,23.6504,0.007552,64.927,9.2961,74.2307
ASIC_100k.mtx,99340,99340,954238,0.002784,25.4784,1.21411,26.6953,0.002688,0.007776,54.5473,54.5578,0.005792,51.9381,0.505414,52.4493,0.10544,26.8345,1.06367,28.0036,0.002688,0.008544,47.2012,47.2124,0.002656,53.8491,0.598477,54.4502
ASIC_100ks.mtx,99190,99190,578890,0.004224,18.9574,0.310848,19.2725,0.002688,0.008192,0.197366,0.208246,0.005696,22.6716,0.136038,22.8133,0.107232,16.406,0.331146,16.8443,0.002656,0.008064,0.201005,0.211725,0.00288,22.6546,0.122752,22.7802
ASIC_320k.mtx,321821,321821,2635439,0.105248,49.6797,3.33127,53.1163,0.003296,0.007008,166.269,166.28,0.005856,109.693,2.27594,111.975,0.175328,59.7132,5.0172,64.9057,0.003872,0.017472,167.134,167.155,0.007328,119.082,2.50252,121.592
ASIC_320ks.mtx,321671,321671,1827807,0.112928,19.19,0.760714,20.0637,0.002688,0.008384,0.39224,0.403312,0.005088,22.8753,0.33567,23.2161,0.173408,16.7069,1.1717,18.052,0.002656,0.0072,0.426276,0.436132,0.006112,22.8601,0.282093,23.1483
ASIC_680k.mtx,682862,682862,3871848,0.171872,79.3035,8.65073,88.1261,0.003872,0.009536,326.271,326.285,0.00672,179.99,3.809,183.806,0.17888,66.6988,10.2116,77.0893,0.005056,0.008704,378.478,378.492,0.006656,205.003,4.19246,209.202
ASIC_680ks.mtx,682712,682712,2329176,0.146912,19.5738,2.17181,21.8925,0.003232,0.008,0.459379,0.470611,0.00448,23.3395,0.345776,23.6897,0.185568,21.15,2.46908,23.8047,0.004448,0.008096,0.733965,0.746509,0.007168,22.9706,0.254147,23.2319
as-Skitter.mtx,1696415,1696415,23887011,0.187904,33.0892,11.5943,44.8714,0.004416,0.008512,45.1429,45.1558,0.006528,372.168,5.86,378.035,0.189056,34.6567,11.6399,46.4856,0.004448,0.008064,45.8997,45.9122,0.003776,400.096,6.59705,406.697
astro-ph.mtx,16706,16706,259208,0.00704,18.7703,0.386912,19.1642,0.00272,0.008256,0.503763,0.514739,0.00608,26.6814,0.531315,27.2188,0.008,16.4076,0.430762,16.8464,0.002688,0.006976,0.530272,0.539936,0.006208,26.7177,0.548653,27.2726
atmosmodd.mtx,1270432,1270432,8814880,0.163328,70.4148,6.41531,76.9935,0.004416,0.0088,6.85372,6.86693,0.003744,26.148,1.03849,27.1903,0.198816,56.4794,5.69126,62.3695,0.003904,0.009184,6.03686,6.04995,0.007392,26.3913,1.18661,27.5853
atmosmodj.mtx,1270432,1270432,8814880,0.162848,52.2665,4.90894,57.3382,0.003872,0.010784,5.81237,5.82703,0.006368,26.0286,0.972,27.007,0.192192,65.7865,6.63897,72.6176,0.004448,0.008384,7.39834,7.41117,0.00512,28.0669,1.41621,29.4883
atmosmodl.mtx,1489752,1489752,10319760,2.12496,65.8577,5.70185,73.6845,0.003328,0.009152,6.96882,6.9813,0.006528,26.1682,1.17519,27.3499,0.19232,76.4902,7.98547,84.668,0.004448,0.009216,10.1774,10.1911,0.00704,27.5136,1.66795,29.1886
atmosmodm.mtx,1489752,1489752,10319760,0.180128,64.1802,6.18507,70.5454,0.003872,0.007232,8.16075,8.17185,0.0064,26.9131,1.39875,28.3182,0.20304,65.5144,5.79167,71.5091,0.004448,0.008672,8.58582,8.59894,0.007616,27.1041,1.54288,28.6546
aug2dc.mtx,30200,30200,110200,0.007264,18.8672,0.0640416,18.9385,0.00288,0.00688,0.0204512,0.0302112,0.005696,23.0255,0.0195744,23.0508,0.0088,20.0659,0.0771456,20.1519,0.00288,0.007456,0.0208064,0.0311424,0.00672,22.9967,0.0184864,23.0219
aug2d.mtx,29008,29008,105840,0.008,19.2151,0.0624224,19.2855,0.00288,0.007584,0.0201248,0.0305888,0.005952,22.5928,0.0152768,22.614,0.009792,18.0072,0.063792,18.0808,0.00288,0.007104,0.0199232,0.0299072,0.006656,22.8834,0.015408,22.9054
aug3dcqp.mtx,35543,35543,136115,0.00816,18.9759,0.0742336,19.0583,0.002784,0.008544,0.0234368,0.0347648,0.00576,22.9493,0.0149504,22.9701,0.15968,16.952,0.0713856,17.1831,0.002816,0.007648,0.0248576,0.0353216,0.006848,22.9477,0.0153102,22.9699
aug3d.mtx,24300,24300,94284,0.007072,19.2254,0.0530272,19.2855,0.00272,0.01152,0.0190976,0.0333376,0.005792,23.1254,0.0141632,23.1454,0.009216,16.9423,0.0513728,17.0029,0.002848,0.00736,0.020752,0.03096,0.006336,22.9742,0.0147712,22.9953
auto.mtx,448695,448695,7077917,0.122912,20.7597,2.07394,22.9565,0.003328,0.007776,5.98824,5.99934,0.00448,30.1792,1.34792,31.5316,0.191232,23.5787,1.8728,25.6428,0.0032,0.018432,5.40941,5.43104,0.00768,28.0197,1.22308,29.2505
av41092.mtx,41092,41092,1724930,0.007232,19.1776,0.177872,19.3627,0.003328,0.007296,0.557357,0.567981,0.006208,23.2084,0.194522,23.4092,0.179328,16.149,0.1828,16.5112,0.003168,0.0088,0.544186,0.556154,0.005984,23.2644,0.234749,23.5051
az2010.mtx,241666,241666,1437760,1.94797,28.1182,0.69519,30.7614,0.002912,0.00848,0.177382,0.188774,0.003168,22.9806,0.096168,23.0799,0.140096,16.9472,0.874827,17.9622,0.003328,0.009216,0.209798,0.222342,0.00336,24.538,0.0984832,24.6399
b1_ss.mtx,7,7,16,0.006112,18.9305,0.0125728,18.9492,0.002688,0.007168,0.0136032,0.0234592,0.005728,22.9972,0.0133568,23.0163,0.006912,17.1635,0.0149696,17.1854,0.003072,0.006784,0.0153344,0.0251904,0.006688,22.556,0.0141152,22.5768
b2_ss.mtx,1089,1089,5315,0.006304,19.2612,0.0270784,19.2946,0.002816,0.007552,0.0413184,0.0516864,0.005728,22.6932,0.0303573,22.7292,0.00656,19.4976,0.0279072,19.532,0.002656,0.006624,0.0441536,0.0534336,0.006272,22.6456,0.0303502,22.6822
barrier2-10.mtx,115625,115625,3897557,0.003776,22.1025,2.2805,24.3868,0.003808,0.008256,11.6867,11.6988,0.005536,40.7812,2.67493,43.4616,0.107552,23.0104,2.84051,25.9585,0.00416,0.00912,14.3936,14.4069,0.003488,41.7036,3.05004,44.7571
barrier2-11.mtx,115625,115625,3897557,0.003264,21.158,1.96285,23.1241,0.004448,0.007904,14.8044,14.8167,0.006432,43.5733,3.07357,46.6533,0.111264,22.2201,2.32472,24.6561,0.004416,0.008192,13.311,13.3236,0.003776,42.4633,3.27409,45.7412
barrier2-12.mtx,115625,115625,3897557,0.00448,21.8279,2.27795,24.1103,0.003392,0.00736,9.39103,9.40178,0.004544,47.6739,3.45029,51.1287,0.102208,23.9326,3.15684,27.1917,0.004448,0.008768,11.1979,11.2111,0.003712,42.6668,3.27087,45.9414
barrier2-1.mtx,113076,113076,3805068,0.003296,21.2972,1.92992,23.2304,0.004416,0.008288,11.0724,11.0851,0.00544,41.3962,2.8169,44.2185,0.108288,19.1758,2.4691,21.7532,0.003904,0.016288,10.4725,10.4927,0.00384,43.6509,3.33038,46.9851
barrier2-2.mtx,113076,113076,3805068,0.003328,24.5472,1.94828,26.4988,0.003776,0.00784,9.40078,9.4124,0.00608,42.3996,3.03255,45.4383,0.109952,21.9028,2.46813,24.4809,0.003296,0.015616,8.54106,8.55997,0.003904,44.0583,3.43373,47.4959
barrier2-3.mtx,113076,113076,3805068,0.004544,22.4281,2.76429,25.1969,0.004448,0.008448,9.22173,9.23463,0.005792,42.2938,3.03277,45.3323,0.099776,20.3604,3.06805,23.5283,0.004448,0.014176,11.9191,11.9377,0.004192,46.0608,3.75502,49.82
barrier2-4.mtx,113076,113076,3805068,0.003808,21.7521,2.2829,24.0388,0.004448,0.00832,9.31633,9.3291,0.004448,43.6546,3.22784,46.8869,0.111072,24.4274,2.29299,26.8315,0.00384,0.014624,10.4483,10.4668,0.003904,43.4544,3.4333,46.8916
barrier2-9.mtx,115625,115625,3897557,0.00448,22.1704,2.84372,25.0186,0.003776,0.008576,12.0892,12.1016,0.004512,44.951,3.27371,48.2293,0.105984,23.8292,2.69793,26.6331,0.00384,0.007296,11.3399,11.351,0.00432,44.6118,3.49366,48.1098
