filename,cow,col,nnz,alpha_mv_time_gather4[ms],mkl_mv_time_gather4[ms],alpha_mv_time_plain[ms],mkl_mv_time_plain[ms],alpha_mv_time_shuffle[ms],mkl_mv_time_shuffle[ms],alpha_mv_time_sse[ms],mkl_mv_time_sse[ms],alpha_mv_time_vgather[ms],mkl_mv_time_vgather[ms]
barrier2-12.mtx,115628,115628,3897557,8.062543,4.62597,3.999666,4.354484,4.163771,3.860175,6.034202,6.092648,8.476968,3.814911
barrier2-1.mtx,113076,113076,3805068,7.907933,3.694702,3.844099,3.704268,3.63305,3.95711,6.130354,6.115075,8.048368,3.668424
barrier2-2.mtx,113076,113076,3805068,8.16829,3.803437,3.810813,3.912031,3.530808,3.937756,5.827405,5.766385,8.120468,3.85657
barrier2-3.mtx,113076,113076,3805068,7.875677,3.837114,3.83796,4.035432,3.626699,3.950822,6.304294,6.021315,7.950265,3.84621
barrier2-4.mtx,113076,113076,3805068,7.903842,4.670839,3.878061,3.772759,3.656151,3.754523,6.313062,6.278246,9.728173,3.916427
barrier2-9.mtx,115628,115628,3897557,8.385152,3.890901,3.919256,4.720141,3.715362,3.907449,6.35689,6.117336,8.194967,3.878194
barth4.mtx,6020,6020,40965,0.079617,0.053115,0.051215,0.052431,0.054307,0.079523,0.051158,0.053098,0.080928,0.05347
barth5.mtx,15608,15608,107362,0.208573,0.171352,0.143618,0.169491,0.144908,0.153124,0.139323,0.144898,0.889303,0.166902
barth.mtx,6692,6692,46187,0.110808,0.081479,0.074126,0.081259,0.0733,0.084537,0.06844,0.081071,0.117297,0.080313
bas1lp.mtx,5412,9828,587775,1.04588,0.360307,0.403875,0.371882,0.353251,0.358766,0.681376,0.663573,1.050638,0.357342
Baumann.mtx,112212,112212,760631,1.34724,0.993293,0.884794,1.004459,0.943867,0.97267,1.336946,1.393025,1.412084,1.013354
bauru5727.mtx,40368,40368,145019,0.360099,0.336278,0.29317,0.283063,0.273057,0.282055,0.263222,0.379257,0.410927,0.282086
baxter.mtx,27444,30736,111576,0.191322,0.15174,0.168097,0.18012,0.138089,0.180595,0.136982,0.156787,0.192252,0.152219
bayer01.mtx,57736,57736,277774,0.525918,0.413991,0.370982,0.437052,0.33261,0.411606,0.372754,0.422402,0.531083,0.411795
bayer02.mtx,13936,13936,63679,0.119292,0.097166,0.085301,0.100694,0.075837,0.097971,0.074266,0.097223,0.117885,0.103761
bayer03.mtx,6748,6748,56196,0.106472,0.071857,0.062663,0.083682,0.056861,0.249409,0.056637,0.060493,0.109469,0.08316
bayer04.mtx,20548,20548,159082,0.304528,0.215411,0.180559,0.172126,0.17078,0.169728,0.160994,0.170759,0.311753,0.170238
bayer05.mtx,3268,3268,27836,0.053607,0.028885,0.029915,0.029713,0.026783,0.028983,0.027148,0.028886,0.053824,0.028978
bayer06.mtx,3008,3008,27576,0.05298,0.028594,0.02926,0.038895,0.026149,0.040452,0.026237,0.028327,0.053572,0.032893
bayer07.mtx,3268,3268,27836,0.052977,0.038172,0.029114,0.026268,0.027332,0.038221,0.027321,0.026146,0.058718,0.038199
bayer08.mtx,3008,3008,27576,0.052727,0.027074,0.038082,0.037892,0.04624,0.038796,0.026654,0.027047,0.052937,0.025663
bayer09.mtx,3084,3084,21216,0.042342,0.032474,0.02503,0.032503,0.025919,0.032885,0.022858,0.022847,0.043775,0.022868
bayer10.mtx,13436,13436,94926,0.179665,0.106198,0.111314,0.106637,0.107533,0.106206,0.097863,0.106082,0.182291,0.1487
bbmat.mtx,38744,38744,1771722,3.417042,1.77511,1.483037,1.377732,1.393501,1.54906,2.223101,2.165497,3.618502,1.448157
bcircuit.mtx,68904,68904,375558,0.881429,0.738452,0.552189,0.739286,0.560281,0.738546,0.605558,0.764957,0.901301,0.986864
bcspwr01.mtx,40,40,131,0.001559,0.000867,0.001366,0.000665,0.001344,0.000855,0.001232,0.000637,0.002472,0.001547
bcspwr02.mtx,52,52,167,0.001434,0.000908,0.001484,0.000777,0.001329,0.000766,0.001361,0.000684,0.001424,0.000957
bcspwr03.mtx,120,120,476,0.00195,0.001208,0.001792,0.002504,0.001739,0.001199,0.001938,0.001077,0.002035,0.001214
bcspwr04.mtx,276,276,1612,0.004081,0.025659,0.003054,0.003276,0.003064,0.00311,0.002891,0.00328,0.005268,0.003434
bcspwr05.mtx,444,444,1623,0.004111,0.003222,0.003539,0.004028,0.003374,0.003276,0.003282,0.003195,0.004307,0.003918
bcspwr06.mtx,1456,1456,5300,0.012208,0.013819,0.010395,0.012179,0.009402,0.01215,0.009817,0.012183,0.013305,0.012128
bcspwr07.mtx,1612,1612,5824,0.013355,0.015264,0.011538,0.013613,0.010089,0.013487,0.010102,0.014349,0.013769,0.015384
bcspwr08.mtx,1624,1624,6050,0.013957,0.015886,0.011717,0.014219,0.010626,0.014021,0.010297,0.014074,0.01437,0.014134
bcspwr09.mtx,1724,1724,6511,0.014985,0.052661,0.011737,0.012435,0.011154,0.012389,0.010856,0.012369,0.015491,0.018692
bcspwr10.mtx,5300,5300,21842,0.049464,0.041159,0.03732,0.047688,0.034055,0.04158,0.034195,0.041012,0.050908,0.042035
bcsstk01.mtx,48,48,400,0.002519,0.001254,0.001691,0.000966,0.00156,0.000984,0.001457,0.001035,0.002001,0.000963
bcsstk02.mtx,68,68,4356,0.008688,0.00419,0.004139,0.003116,0.003744,0.003143,0.00368,0.003033,0.00875,0.004156
bcsstk03.mtx,112,112,640,0.002337,0.001214,0.001967,0.00124,0.001904,0.001663,0.001847,0.001343,0.002444,0.001229
bcsstk04.mtx,132,132,3648,0.007652,0.00441,0.004048,0.003295,0.003815,0.015629,0.003717,0.003091,0.007787,0.003241
bcsstk05.mtx,156,156,2423,0.005688,0.004794,0.003394,0.003551,0.003151,0.004395,0.003049,0.002594,0.005767,0.003547
bcsstk06.mtx,420,420,7860,0.015276,0.006739,0.00773,0.009595,0.007351,0.011304,0.007192,0.006794,0.015731,0.006742
bcsstk07.mtx,420,420,7860,0.015312,0.009607,0.007759,0.006781,0.00742,0.006738,0.020243,0.006618,0.015748,0.009606
bcsstk08.mtx,1076,1076,12960,0.025857,0.018197,0.013923,0.020776,0.01338,0.01837,0.023786,0.013482,0.041228,0.014851
bcsstk09.mtx,1084,1084,18437,0.034683,0.015855,0.016349,0.020898,0.016075,0.01433,0.015606,0.015613,0.034969,0.020898
bcsstk10.mtx,1088,1088,22070,0.041476,0.034821,0.019004,0.024888,0.01832,0.017213,0.017787,0.017244,0.040368,0.024924
bcsstk11.mtx,1476,1476,34241,0.062034,0.026252,0.028696,0.026248,0.027164,0.026352,0.027059,0.026241,0.064943,0.026197
bcsstk12.mtx,1476,1476,34241,0.062126,0.026279,0.031222,0.026214,0.027012,0.03905,0.026379,0.026196,0.063143,0.026171
bcsstk13.mtx,2004,2004,83883,0.163424,0.282018,0.073247,0.070963,0.066463,0.067033,0.065675,0.070803,0.164139,0.078117
bcsstk14.mtx,1808,1808,63454,0.126049,0.118506,0.057475,0.065905,0.051352,0.053254,0.051228,0.05331,0.127845,0.06661
bcsstk15.mtx,3948,3948,117816,0.220183,0.123782,0.097011,0.124423,0.088785,0.120482,0.089464,0.089555,0.221364,0.093523
bcsstk16.mtx,4884,4884,290378,0.517627,0.243559,0.206652,0.180961,0.184846,0.238953,0.182159,0.183558,0.521499,0.181022
